year,day_type,date,ward,location,zone_type,day_leq,day_lmin,day_lmax,night_leq,night_lmin,night_lmax
2023,post_diwali,2023-11-18,Pune,Koregaon Park,Commercial,76.2,45.7,84.5,65.1,37.8,75.6
2023,post_diwali,2023-11-18,Pune,Pune Cantonment,Silence,79.1,37.6,88.6,65.1,40.8,73.7
2024,pre_diwali,2024-11-06,Pune,Shivajinagar,Silence,77.6,39.5,90.1,66.3,40.4,81.1
2024,pre_diwali,2024-11-06,Pune,Sassoon Hospital Area,Silence,73.9,32.0,83.8,67.8,46.2,76.3
2024,pre_diwali,2024-11-06,Pune,Camp,Commercial,74.9,38.8,84.1,67.1,49.8,76.9
2024,pre_diwali,2024-11-06,Pune,Deccan Gymkhana,Commercial,77.2,37.3,87.2,66.2,36.9,79.4
2024,pre_diwali,2024-11-06,Pune,Swargate,Commercial,77.8,41.5,87.5,67.4,47.1,80.7
2024,pre_diwali,2024-11-06,Pune,Market Yard,Commercial,74.8,37.7,83.5,66.9,44.5,78.2
2024,pre_diwali,2024-11-06,Pune,Kothrud,Residential,74.0,38.0,86.3,64.8,40.3,73.1
2024,pre_diwali,2024-11-06,Pune,Aundh,Residential,77.1,39.6,91.1,64.4,39.5,73.5
2024,pre_diwali,2024-11-06,Pune,Baner,Residential,74.9,44.5,87.0,65.9,36.8,77.9
2024,pre_diwali,2024-11-06,Pune,Hadapsar,Residential,77.4,40.5,89.2,64.8,35.7,75.5
2024,pre_diwali,2024-11-06,Pune,Katraj,Residential,75.0,43.9,85.2,65.9,38.2,74.1
2024,pre_diwali,2024-11-06,Pune,Viman Nagar,Residential,73.4,41.6,86.3,68.5,44.1,82.6
2024,pre_diwali,2024-11-06,Pune,Hinjewadi,Residential,76.0,41.8,85.2,68.1,41.8,81.7
2024,pre_diwali,2024-11-06,Pune,Koregaon Park,Commercial,74.0,38.4,87.4,65.7,45.6,80.2
2024,pre_diwali,2024-11-06,Pune,Pune Cantonment,Silence,77.1,35.8,90.4,69.5,53.0,83.8
2024,diwali,2024-11-12,Pune,Shivajinagar,Silence,83.8,49.0,98.1,72.5,51.7,80.6
2024,diwali,2024-11-12,Pune,Sassoon Hospital Area,Silence,82.1,37.8,94.1,72.3,47.8,83.4
2024,diwali,2024-11-12,Pune,Camp,Commercial,74.2,34.1,87.5,67.3,40.4,80.8
2024,diwali,2024-11-12,Pune,Deccan Gymkhana,Commercial,76.0,45.1,87.8,67.9,46.3,82.1
2024,diwali,2024-11-12,Pune,Swargate,Commercial,74.5,42.4,87.8,68.9,44.6,77.6
2024,diwali,2024-11-12,Pune,Market Yard,Commercial,76.4,45.3,90.2,68.6,43.0,77.2
2024,diwali,2024-11-12,Pune,Kothrud,Residential,69.9,27.7,84.5,62.0,32.2,75.3
2024,diwali,2024-11-12,Pune,Aundh,Residential,71.2,29.5,83.1,64.1,42.7,78.4
2024,diwali,2024-11-12,Pune,Baner,Residential,72.5,42.3,83.8,62.7,46.9,71.5
2024,diwali,2024-11-12,Pune,Hadapsar,Residential,73.1,31.9,85.2,63.0,33.6,73.6
2024,diwali,2024-11-12,Pune,Katraj,Residential,73.7,40.3,88.4,63.8,48.6,78.6
2024,diwali,2024-11-12,Pune,Viman Nagar,Residential,72.9,41.8,84.8,64.5,35.0,76.2
2024,diwali,2024-11-12,Pune,Hinjewadi,Residential,75.1,38.3,87.5,66.2,42.4,80.5
2024,diwali,2024-11-12,Pune,Koregaon Park,Commercial,79.9,45.7,89.2,68.0,46.0,78.5
2024,diwali,2024-11-12,Pune,Pune Cantonment,Silence,80.1,35.5,95.0,72.8,47.3,84.6
2024,post_diwali,2024-11-18,Pune,Shivajinagar,Silence,80.7,40.4,89.8,66.0,37.3,79.8
2024,post_diwali,2024-11-18,Pune,Sassoon Hospital Area,Silence,76.6,32.6,90.7,70.3,54.6,78.5
2024,post_diwali,2024-11-18,Pune,Camp,Commercial,77.1,32.3,86.2,67.2,43.3,77.9
2024,post_diwali,2024-11-18,Pune,Deccan Gymkhana,Commercial,74.8,38.6,84.7,70.2,54.4,84.3
2024,post_diwali,2024-11-18,Pune,Swargate,Commercial,75.0,33.5,89.6,68.1,40.4,77.8
2024,post_diwali,2024-11-18,Pune,Market Yard,Commercial,73.1,28.8,85.3,67.7,49.3,80.4
2024,post_diwali,2024-11-18,Pune,Kothrud,Residential,68.7,37.0,81.4,68.3,45.5,81.7
2024,post_diwali,2024-11-18,Pune,Aundh,Residential,73.6,35.3,85.5,66.1,38.0,76.9
2024,post_diwali,2024-11-18,Pune,Baner,Residential,72.7,32.1,82.2,68.5,51.5,76.6
2024,post_diwali,2024-11-18,Pune,Hadapsar,Residential,73.4,37.5,84.5,62.8,34.2,73.2
2024,post_diwali,2024-11-18,Pune,Katraj,Residential,74.2,38.3,86.6,66.1,38.2,80.7
2024,post_diwali,2024-11-18,Pune,Viman Nagar,Residential,68.4,31.5,83.3,65.9,43.5,76.2
2024,post_diwali,2024-11-18,Pune,Hinjewadi,Residential,69.2,38.1,78.1,67.2,50.3,76.3
2024,post_diwali,2024-11-18,Pune,Koregaon Park,Commercial,75.7,43.0,86.1,66.3,37.8,77.6
2024,post_diwali,2024-11-18,Pune,Pune Cantonment,Silence,77.2,44.3,85.5,67.9,50.4,77.9
